Society,Year,T_Offset,sigma_V,mean_V
Australia,1905,T+5,1.5417985786550898,10.65
Australia,1950,T+50,1.4730313739263767,12.3125
Australia,1951,T+51,1.8102387372151456,12.0625
Australia,1952,T+52,1.7602252290950886,12.1875
Australia,1953,T+53,1.4730313739263767,12.3125
Australia,1954,T+54,1.2211674741819816,12.4375
Australia,1955,T+55,1.2211674741819816,12.4375
Australia,1956,T+56,1.2211674741819816,12.4375
Australia,1957,T+57,1.2211674741819816,12.4375
Australia,1958,T+58,1.2211674741819816,12.4375
Australia,1959,T+59,1.2211674741819816,12.4375
Australia,1906,T+6,1.5417985786550898,10.65
Australia,1960,T+60,1.3490075717250183,12.0625
Australia,1961,T+61,1.4535056145156693,11.6875
Australia,1962,T+62,1.2211674741819816,12.4375
Australia,1963,T+63,1.2211674741819816,12.4375
Australia,1964,T+64,1.2211674741819816,12.4375
Australia,1965,T+65,1.2211674741819816,12.4375
Australia,1966,T+66,2.6994377721507643,8.7125
Australia,1967,T+67,2.380238583479755,8.9625
Australia,1968,T+68,2.380238583479755,8.9625
Australia,1969,T+69,2.667496150753682,8.7125
Australia,1907,T+7,1.5417985786550898,10.65
Australia,1970,T+70,2.6674961507536823,8.7125
Australia,1971,T+71,2.5483538103758545,8.8375
Australia,1972,T+72,2.5314803687058016,9.3375
Australia,1973,T+73,3.1192661682792373,9.7125
Australia,1974,T+74,2.6188533477731935,8.0875
Australia,1975,T+75,2.9242520411209436,7.8374999999999995
Australia,1976,T+76,1.0833150181601978,8.275
Australia,1977,T+77,1.1173949295443526,7.9
Australia,1978,T+78,1.1173949295443526,7.9
Australia,1979,T+79,1.1841211327997057,7.775
Australia,1908,T+8,1.5417985786550898,10.65
Australia,1980,T+80,1.1173949295443526,7.9
Australia,1981,T+81,1.1173949295443526,7.9
Australia,1982,T+82,1.7864569884071022,7.4
Australia,1983,T+83,2.842910982979041,12.775
Australia,1984,T+84,2.8502819409414824,12.5875
Australia,1985,T+85,1.800793475903648,12.15
Australia,1986,T+86,1.800793475903648,12.15
Australia,1987,T+87,1.6168752933623896,11.65
Australia,1988,T+88,2.04939015319192,12.4
Australia,1989,T+89,1.7566201313073595,11.9
Australia,1909,T+9,1.5417985786550898,10.65
Australia,1990,T+90,3.236289762764056,5.275
Australia,1991,T+91,3.26266762021509,5.275
Australia,1992,T+92,2.3395665044130354,6.0249999999999995
Australia,1993,T+93,1.8493242008906934,9.4
Australia,1994,T+94,2.4115421858814154,10.0875
Australia,1995,T+95,1.8493242008906934,9.4
Australia,1996,T+96,1.6835336985892835,10.9
Australia,1997,T+97,1.7119329092328013,10.775
Australia,1998,T+98,1.5042796092672202,10.4
Australia,1999,T+99,1.982602906714878,10.775
Brazil,1900,T+0,2.883914750077451,12.5625
Brazil,1901,T+1,2.5903323008006964,12.6875
Brazil,1910,T+10,2.083095224488241,12.125
Brazil,2000,T+100,1.3296078906418778,12.625
Brazil,2001,T+101,1.3296078906418778,12.625
Brazil,2002,T+102,1.224744871391589,11.5
Brazil,2003,T+103,1.0938137736509683,14.875
Brazil,2004,T+104,1.3627702877384937,16.25
Brazil,2005,T+105,1.3627702877384937,16.25
Brazil,2006,T+106,1.3627702877384937,16.25
Brazil,2007,T+107,1.2174328963613794,15.125
Brazil,2008,T+108,1.2174328963613794,15.125
Brazil,2009,T+109,1.2174328963613794,15.125
Brazil,1911,T+11,1.827371257923719,13.125
Brazil,2010,T+110,1.4820352800890306,16.375
Brazil,2011,T+111,1.4820352800890306,16.375
Brazil,2012,T+112,1.2174328963613794,15.125
Brazil,2013,T+113,1.7878558586834041,12.375
Brazil,2014,T+114,0.8762745818846641,13.625
Brazil,2015,T+115,1.5583874449479593,8.75
Brazil,2016,T+116,1.927248223318863,6.75
Brazil,2017,T+117,1.5583874449479593,8.75
Brazil,2018,T+118,1.5583874449479593,8.75
Brazil,2019,T+119,1.2747548783981963,11.375
Brazil,1912,T+12,2.1835423382332535,13.875
Brazil,2020,T+120,1.9775525999867323,8.625
Brazil,2021,T+121,1.9775525999867323,8.625
Brazil,2022,T+122,1.2747548783981963,11.375
Brazil,2023,T+123,1.1572751247156894,13.375
Brazil,2024,T+124,1.4820352800890306,11.875
Brazil,2025,T+125,1.4820352800890306,11.875
Brazil,1913,T+13,2.1835423382332535,13.875
Brazil,1914,T+14,1.4142135623730951,12.25
Brazil,1915,T+15,1.8660500682304473,11.375
Brazil,1916,T+16,1.8660500682304473,11.375
Brazil,1917,T+17,1.7878558586834041,9.875
Brazil,1918,T+18,1.9086270308410553,7.5
Brazil,1919,T+19,1.7878558586834041,9.875
Brazil,1902,T+2,2.7353505912666582,13.625
Brazil,1920,T+20,1.8660500682304473,11.375
Brazil,1921,T+21,1.433028760552777,12.625
Brazil,1922,T+22,1.941096891671599,10.625
Brazil,1923,T+23,2.2160131510697956,9.875
Brazil,1924,T+24,2.57390753524675,9.125
Brazil,1925,T+25,2.2795676281761352,10.375
Brazil,1926,T+26,2.2834810518779682,9.0
Brazil,1927,T+27,2.2834810518779682,9.0
Brazil,1928,T+28,2.2834810518779682,9.0
Brazil,1929,T+29,2.3717082451262845,7.125
Brazil,1903,T+3,2.1835423382332535,13.875
Brazil,1930,T+30,2.0354009783964297,4.25
Brazil,1931,T+31,1.663687814121731,9.125
Brazil,1932,T+32,2.138089935299395,5.75
Brazil,1933,T+33,2.104417123236605,11.25
Brazil,1934,T+34,1.787855858683404,13.375
Brazil,1935,T+35,2.3413976290119662,9.875
Brazil,1936,T+36,1.787855858683404,13.375
Brazil,1937,T+37,1.8708286933869707,11.0
Brazil,1938,T+38,2.1044171232366047,15.25
Brazil,1939,T+39,2.1044171232366047,15.25
Brazil,1904,T+4,2.7353505912666582,12.625
Brazil,1940,T+40,1.217432896361379,16.125
Brazil,1941,T+41,1.217432896361379,16.125
Brazil,1942,T+42,1.2229209763045668,15.3125
Brazil,1943,T+43,1.2229209763045668,15.3125
Brazil,1944,T+44,1.1933596033288303,14.1875
Brazil,1945,T+45,1.439245834257849,10.0
Brazil,1946,T+46,1.3093073414159542,10.0
Brazil,1947,T+47,0.9258200997725514,11.5
Brazil,1948,T+48,1.3093073414159542,13.0
Brazil,1949,T+49,1.3093073414159542,13.0
Brazil,1905,T+5,2.1835423382332535,13.875
Brazil,1950,T+50,0.8864052604279182,13.25
Brazil,1951,T+51,1.093813773650968,15.875
Brazil,1952,T+52,1.093813773650968,15.875
Brazil,1953,T+53,1.217432896361379,16.125
Brazil,1954,T+54,1.529472364668847,10.125
Brazil,1955,T+55,1.093813773650968,13.875
Brazil,1956,T+56,1.217432896361379,16.125
Brazil,1957,T+57,1.217432896361379,16.125
Brazil,1958,T+58,1.217432896361379,16.125
Brazil,1959,T+59,1.2174328963613794,15.125
Brazil,1906,T+6,2.1835423382332535,13.875
Brazil,1960,T+60,1.2174328963613794,15.125
Brazil,1961,T+61,1.362770287738494,10.25
Brazil,1962,T+62,1.362770287738494,10.25
Brazil,1963,T+63,2.0133483127793435,7.875
Brazil,1964,T+64,1.8791620472966135,5.0625
Brazil,1965,T+65,1.4820352800890306,11.875
Brazil,1966,T+66,1.4820352800890306,12.625
Brazil,1967,T+67,1.4820352800890306,12.625
Brazil,1968,T+68,1.6035674514745464,11.75
Brazil,1969,T+69,1.927248223318863,14.75
Brazil,1907,T+7,2.1835423382332535,13.875
Brazil,1970,T+70,1.927248223318863,14.75
Brazil,1971,T+71,1.3363062095621219,15.0
Brazil,1972,T+72,1.439245834257849,16.5
Brazil,1973,T+73,1.439245834257849,16.5
Brazil,1974,T+74,1.1649647450214349,15.0
Brazil,1975,T+75,1.1649647450214349,15.0
Brazil,1976,T+76,1.575481785722341,13.375
Brazil,1977,T+77,1.575481785722341,13.375
Brazil,1978,T+78,1.3887301496588271,11.5
Brazil,1979,T+79,1.3887301496588271,11.5
Brazil,1908,T+8,1.9456912102680337,14.0
Brazil,1980,T+80,1.7060815589280267,9.625
Brazil,1981,T+81,1.7113069358158488,9.0
Brazil,1982,T+82,1.8322507626258084,8.0
Brazil,1983,T+83,2.248014997408031,6.625
Brazil,1984,T+84,1.5583874449479593,8.75
Brazil,1985,T+85,0.8762745818846638,10.375
Brazil,1986,T+86,1.2174328963613794,12.125
Brazil,1987,T+87,1.5583874449479593,8.75
Brazil,1988,T+88,1.5583874449479593,8.75
Brazil,1989,T+89,1.8708286933869707,7.0
Brazil,1909,T+9,1.827371257923719,13.125
Brazil,1990,T+90,1.5569544446955226,5.6875
Brazil,1991,T+91,1.5569544446955226,5.6875
Brazil,1992,T+92,1.5569544446955226,5.6875
Brazil,1993,T+93,1.5569544446955226,5.6875
Brazil,1994,T+94,1.5583874449479593,8.75
Brazil,1995,T+95,1.3296078906418778,12.625
Brazil,1996,T+96,1.3296078906418778,12.625
Brazil,1997,T+97,1.7474471175321524,14.125
Brazil,1998,T+98,1.7474471175321524,14.125
Brazil,1999,T+99,1.1952286093343936,12.25
Canada,1900,T+0,1.6201851746019649,12.375
Canada,1901,T+1,2.3067834748844547,12.4125
Canada,1910,T+10,2.2307910192190956,12.725
Canada,1911,T+11,1.647508942095828,15.0
Canada,1912,T+12,2.402937190784882,10.4375
Canada,1913,T+13,2.3603495503844343,8.3625
Canada,1914,T+14,1.8909087006742853,7.7125
Canada,1915,T+15,2.6859422395661667,9.25
Canada,1916,T+16,2.396984712985403,11.9375
Canada,1917,T+17,2.6086394921491163,9.225
Canada,1918,T+18,2.2112940619852957,7.5875
Canada,1919,T+19,1.5754817857223413,13.625
Canada,1902,T+2,1.5927850720402565,8.3625
Canada,1920,T+20,1.9639610121239315,12.25
Canada,1921,T+21,2.297786201667037,7.6375
Canada,1922,T+22,2.2109710213258915,11.5625
Canada,1923,T+23,1.2464234547582251,13.125
Canada,1924,T+24,2.1253151026881367,9.2375
Canada,1925,T+25,2.402974347404839,6.7
Canada,1903,T+3,2.2004869590940217,6.225
Canada,1904,T+4,1.3918127952935544,8.6
Canada,1905,T+5,1.8721645226849053,9.675
Canada,1906,T+6,2.21294890522643,2.0500000000000003
Canada,1907,T+7,1.5537397281582084,7.9375
Canada,1908,T+8,1.209190992830685,12.525
Canada,1909,T+9,1.8267848415023746,13.1
Chile,1900,T+0,3.6476998623398673,10.299999999999999
Chile,1901,T+1,3.415510838178425,10.4
Chile,1910,T+10,3.3258457570969826,10.4875
Chile,2000,T+100,2.0368042194996128,13.2
Chile,2001,T+101,1.897366596101027,13.2
Chile,2002,T+102,1.986696827831133,13.4125
Chile,2003,T+103,2.224498338309754,13.5375
Chile,2004,T+104,2.30015527426178,13.625
Chile,2005,T+105,2.18006389159322,13.4125
Chile,2006,T+106,2.1056047655178376,13.125
Chile,2007,T+107,2.0156087347073512,13.4375
Chile,2008,T+108,1.6190274858692184,12.4875
Chile,2009,T+109,2.0035682454774815,12.25
Chile,1911,T+11,3.3196385345395663,10.35
Chile,2010,T+110,1.8283482006601322,11.6
Chile,2011,T+111,1.8140326032666239,11.725
Chile,2012,T+112,2.1101370977802776,12.5875
Chile,2013,T+113,1.9240953347334053,12.775
Chile,2014,T+114,1.7141741035095757,12.7125
Chile,2015,T+115,1.8403706924731993,11.9875
Chile,2016,T+116,2.011218536111876,11.575
Chile,2017,T+117,1.9775525999867316,12.075
Chile,2018,T+118,1.8252201432782214,12.75
Chile,2019,T+119,2.1443863591113552,7.7125
Chile,1912,T+12,3.5520617755245834,10.4
Chile,2020,T+120,2.03469899493758,8.65
Chile,2021,T+121,1.9518763866012179,9.8875
Chile,2022,T+122,1.9914101249401854,9.25
Chile,2023,T+123,2.012771720787035,9.4625
Chile,2024,T+124,1.9809359259847708,10.5875
Chile,2025,T+125,2.1480472859918933,10.962499999999999
Chile,1913,T+13,3.2898111105133596,10.5
Chile,1914,T+14,2.7159581313835766,9.525
Chile,1915,T+15,2.796809406653027,9.375
Chile,1916,T+16,2.948486294452025,9.525
Chile,1917,T+17,3.101151859735808,9.2
Chile,1918,T+18,2.9122585736846927,8.6125
Chile,1919,T+19,2.7479862756987288,7.949999999999999
Chile,1902,T+2,3.532704346531139,10.45
Chile,1920,T+20,2.5629224390471568,8.05
Chile,1921,T+21,2.64220551812307,8.112499999999999
Chile,1922,T+22,2.6688681389040454,7.45
Chile,1923,T+23,2.33788671361858,7.299999999999999
Chile,1924,T+24,1.9164233800046826,6.2875
Chile,1925,T+25,2.0112185361118766,8.025
Chile,1926,T+26,1.8761663039293714,8.55
Chile,1927,T+27,2.2480149974080312,8.375
Chile,1928,T+28,2.38971008402992,9.325
Chile,1929,T+29,2.479595301080977,10.1625
Chile,1903,T+3,3.433344891335146,10.325
Chile,1930,T+30,2.388028176431043,6.9625
Chile,1931,T+31,3.0914628992020683,2.6
Chile,1932,T+32,2.259859350869935,3.0125
Chile,1933,T+33,2.1009776635788264,7.4625
Chile,1934,T+34,2.0420140617957134,7.7124999999999995
Chile,1935,T+35,2.381476132869815,9.05
Chile,1936,T+36,2.1363771068931494,8.9875
Chile,1937,T+37,1.8858495622473632,9.925
Chile,1938,T+38,1.9181464267061874,9.875
Chile,1939,T+39,1.7326692867200189,9.925
Chile,1904,T+4,3.169948174429895,10.6
Chile,1940,T+40,1.9425682558333508,10.425
Chile,1941,T+41,1.7566201313073602,10.450000000000001
Chile,1942,T+42,1.7274568425454637,10.4875
Chile,1943,T+43,1.9029582233985063,10.487499999999999
Chile,1944,T+44,1.6308958975273153,10.5625
